# Krenko, Mob Boss — selector greedy (prototipo Fase 3)
# Construido en 0.00s | mainboard: 99 cartas

## Resumen de cuotas
categoría      n  banda      estado
lands         35  [33-36]    in_range  (suelo Karsten: 35, objetivo: 35)
ramp          12  [ 7-12]    in_range
card_draw     10  [ 8-11]    in_range
removal       11  [ 6-11]    in_range
board_wipe     1  [ 1- 3]    in_range
wincons        0  [ 0- 4]    in_range
synergy       35  [ 0-35]    in_range

# Nota: una carta multicategoría cuenta en todas sus categorías,
# por eso la suma de conteos puede superar 99.

## Mainboard (99)

1x Swiftfoot Boots                            score 0.72  [protection]  fuera: cuota llena en protection
1x Gempalm Incinerator                        score 0.53  [removal]  fuera: cuota llena en removal
1x Battle Cry Goblin                          score 0.51  [synergy]  fuera: cuota llena en synergy
1x Phyrexian Altar                            score 0.49  [ramp]  fuera: cuota llena en ramp
1x Jeska's Will                               score 0.48  [synergy]  fuera: cuota llena en synergy
1x Goblin Grenade                             score 0.47  [removal]  fuera: cuota llena en removal
1x Fervor                                     score 0.47  [synergy]  fuera: cuota llena en synergy
1x Legion Loyalist                            score 0.46  [synergy]  fuera: cuota llena en synergy
1x Mogg War Marshal                           score 0.46  [synergy]  fuera: cuota llena en synergy
1x Mass Hysteria                              score 0.45  [synergy]  fuera: cuota llena en synergy
1x Beetleback Chief                           score 0.43  [synergy]  fuera: cuota llena en synergy
1x Torch Courier                              score 0.43  [synergy]  fuera: cuota llena en synergy
1x Throne of the God-Pharaoh                  score 0.41  [synergy]  fuera: cuota llena en synergy
1x Rising of the Day                          score 0.41  [synergy]  fuera: cuota llena en synergy
1x Raid Bombardment                           score 0.39  [synergy]  fuera: cuota llena en synergy

## Cartas nuevas (arranque en frío) (5)
# Lista 'New Cards' de EDHREC que no entró al mainboard; el score
# EDHREC tarda meses en reflejarlas — el jugador ve y decide.
1x Hex Magic                                  score 0.01  [card_draw]  carta nueva (EDHREC New Cards)
1x Super Speed                                score 0.01  [synergy]  carta nueva (EDHREC New Cards)
1x Hawkeye's Bow                              score 0.00  [synergy]  carta nueva (EDHREC New Cards)
1x Loki's Scepter                             score 0.00  [ramp]  carta nueva (EDHREC New Cards)
1x Panther Robot                              score 0.00  [synergy]  carta nueva (EDHREC New Cards)
